,endTime,artistName,trackName,msPlayed,artist_and_song,energy,loudness,danceability,genres
0,2021-03-11 22:02,Florist,Vacation,42581,Florist - Vacation,0.269,-13.939,0.615,anti-folk
0,2021-03-11 22:02,Florist,Vacation,42581,Florist - Vacation,0.269,-13.939,0.615,indie pop
0,2021-03-11 22:02,Florist,Vacation,42581,Florist - Vacation,0.269,-13.939,0.615,lo-fi indie
0,2021-03-11 22:02,Florist,Vacation,42581,Florist - Vacation,0.269,-13.939,0.615,small room
1,2021-03-13 00:12,Penelope Scott,Cigarette Ahegao,183992,Penelope Scott - Cigarette Ahegao,0.286,-13.399,0.651,alt z
1,2021-03-13 00:12,Penelope Scott,Cigarette Ahegao,183992,Penelope Scott - Cigarette Ahegao,0.286,-13.399,0.651,indie pop
1,2021-03-13 00:12,Penelope Scott,Cigarette Ahegao,183992,Penelope Scott - Cigarette Ahegao,0.286,-13.399,0.651,modern indie pop
2,2021-03-13 00:15,Sir Chloe,Too Close,170575,Sir Chloe - Too Close,0.558,-5.728,0.42,indie pop
3,2021-03-13 00:16,Mother Mother,Problems,1718,Mother Mother - Problems,0.85,-3.653,0.629,indie pop
3,2021-03-13 00:16,Mother Mother,Problems,1718,Mother Mother - Problems,0.85,-3.653,0.629,vancouver indie
4,2021-03-13 00:16,beabadoobee,I Wish I Was Stephen Malkmus,1393,beabadoobee - I Wish I Was Stephen Malkmus,0.783,-3.954,0.44,bedroom pop
4,2021-03-13 00:16,beabadoobee,I Wish I Was Stephen Malkmus,1393,beabadoobee - I Wish I Was Stephen Malkmus,0.783,-3.954,0.44,bubblegrunge
4,2021-03-13 00:16,beabadoobee,I Wish I Was Stephen Malkmus,1393,beabadoobee - I Wish I Was Stephen Malkmus,0.783,-3.954,0.44,indie pop
5,2021-03-13 00:16,Forth Wanderers,Ages Ago,2670,Forth Wanderers - Ages Ago,0.617,-4.846,0.238,bubblegrunge
5,2021-03-13 00:16,Forth Wanderers,Ages Ago,2670,Forth Wanderers - Ages Ago,0.617,-4.846,0.238,new jersey indie
6,2021-03-13 00:16,LAKE,Roger Miller,0,LAKE - Roger Miller,0.436,-11.362,0.577,olympia wa indie
7,2021-03-13 00:16,Eyedress,Jealous,6037,Eyedress - Jealous,0.921,-10.431,0.474,noise pop
8,2021-03-13 00:16,TV Girl,Lovers Rock,33343,TV Girl - Lovers Rock,0.871,-5.338,0.559,indie pop
10,2021-03-13 00:19,Berhana,Janet,204000,Berhana - Janet,0.308,-8.194,0.81,alternative r&b
10,2021-03-13 00:19,Berhana,Janet,204000,Berhana - Janet,0.308,-8.194,0.81,chill r&b
10,2021-03-13 00:19,Berhana,Janet,204000,Berhana - Janet,0.308,-8.194,0.81,indie r&b
10,2021-03-13 00:19,Berhana,Janet,204000,Berhana - Janet,0.308,-8.194,0.81,indie soul
11,2021-03-13 00:20,Sorority Noise,Leave The Fan On,12049,Sorority Noise - Leave The Fan On,0.495,-8.227,0.454,alternative emo
11,2021-03-13 00:20,Sorority Noise,Leave The Fan On,12049,Sorority Noise - Leave The Fan On,0.495,-8.227,0.454,dreamo
11,2021-03-13 00:20,Sorority Noise,Leave The Fan On,12049,Sorority Noise - Leave The Fan On,0.495,-8.227,0.454,emo
11,2021-03-13 00:20,Sorority Noise,Leave The Fan On,12049,Sorority Noise - Leave The Fan On,0.495,-8.227,0.454,new england emo
12,2021-03-13 00:27,Christian Scott aTunde Adjuah,Of a New Cool,454472,Christian Scott aTunde Adjuah - Of a New Cool,0.753,-5.664,0.431,contemporary jazz
12,2021-03-13 00:27,Christian Scott aTunde Adjuah,Of a New Cool,454472,Christian Scott aTunde Adjuah - Of a New Cool,0.753,-5.664,0.431,experimental jazz
12,2021-03-13 00:27,Christian Scott aTunde Adjuah,Of a New Cool,454472,Christian Scott aTunde Adjuah - Of a New Cool,0.753,-5.664,0.431,indie jazz
12,2021-03-13 00:27,Christian Scott aTunde Adjuah,Of a New Cool,454472,Christian Scott aTunde Adjuah - Of a New Cool,0.753,-5.664,0.431,indie soul
12,2021-03-13 00:27,Christian Scott aTunde Adjuah,Of a New Cool,454472,Christian Scott aTunde Adjuah - Of a New Cool,0.753,-5.664,0.431,jazz
12,2021-03-13 00:27,Christian Scott aTunde Adjuah,Of a New Cool,454472,Christian Scott aTunde Adjuah - Of a New Cool,0.753,-5.664,0.431,jazz trumpet
12,2021-03-13 00:27,Christian Scott aTunde Adjuah,Of a New Cool,454472,Christian Scott aTunde Adjuah - Of a New Cool,0.753,-5.664,0.431,new orleans jazz
13,2021-03-13 00:30,Pogo,Giving,166894,Pogo - Giving,0.914,-9.478,0.715,plunderphonics
15,2021-03-13 00:33,Triptides,Where You Are,1184,Triptides - Where You Are,0.769,-6.858,0.477,indie garage rock
15,2021-03-13 00:33,Triptides,Where You Are,1184,Triptides - Where You Are,0.769,-6.858,0.477,neo-psychedelic
16,2021-03-13 00:33,Sweet Spirit,Let Me Be on Top,165466,Sweet Spirit - Let Me Be on Top,0.909,-2.664,0.137,austindie
18,2021-03-13 00:33,Car Seat Headrest,Not What I Needed,0,Car Seat Headrest - Not What I Needed,0.546,-6.707,0.362,alternative rock
18,2021-03-13 00:33,Car Seat Headrest,Not What I Needed,0,Car Seat Headrest - Not What I Needed,0.546,-6.707,0.362,indie pop
18,2021-03-13 00:33,Car Seat Headrest,Not What I Needed,0,Car Seat Headrest - Not What I Needed,0.546,-6.707,0.362,indie rock
19,2021-03-13 00:33,Dr. Dog,The Girl,2298,Dr. Dog - The Girl,0.761,-5.45,0.395,indie folk
19,2021-03-13 00:33,Dr. Dog,The Girl,2298,Dr. Dog - The Girl,0.761,-5.45,0.395,indie rock
19,2021-03-13 00:33,Dr. Dog,The Girl,2298,Dr. Dog - The Girl,0.761,-5.45,0.395,modern folk rock
19,2021-03-13 00:33,Dr. Dog,The Girl,2298,Dr. Dog - The Girl,0.761,-5.45,0.395,modern rock
19,2021-03-13 00:33,Dr. Dog,The Girl,2298,Dr. Dog - The Girl,0.761,-5.45,0.395,philly indie
19,2021-03-13 00:33,Dr. Dog,The Girl,2298,Dr. Dog - The Girl,0.761,-5.45,0.395,stomp and holler
21,2021-03-13 00:33,Frankie Cosmos,Fool,1137,Frankie Cosmos - Fool,0.435,-10.254,0.511,bedroom pop
21,2021-03-13 00:33,Frankie Cosmos,Fool,1137,Frankie Cosmos - Fool,0.435,-10.254,0.511,bubblegrunge
21,2021-03-13 00:33,Frankie Cosmos,Fool,1137,Frankie Cosmos - Fool,0.435,-10.254,0.511,indie garage rock
21,2021-03-13 00:33,Frankie Cosmos,Fool,1137,Frankie Cosmos - Fool,0.435,-10.254,0.511,indie pop
22,2021-03-13 00:33,Cicada Rhythm,Do Not Destroy,14744,Cicada Rhythm - Do Not Destroy,0.154,-16.716,0.396,deep new americana
23,2021-03-13 00:33,Bobby McFerrin,'Round Midnight - Live,0,Bobby McFerrin - 'Round Midnight - Live,0.0545,-27.152,0.226,a cappella
25,2021-03-13 00:33,Lomelda,Hannah Sun,0,Lomelda - Hannah Sun,0.266,-17.091,0.67,art pop
25,2021-03-13 00:33,Lomelda,Hannah Sun,0,Lomelda - Hannah Sun,0.266,-17.091,0.67,bubblegrunge
25,2021-03-13 00:33,Lomelda,Hannah Sun,0,Lomelda - Hannah Sun,0.266,-17.091,0.67,indie folk
25,2021-03-13 00:33,Lomelda,Hannah Sun,0,Lomelda - Hannah Sun,0.266,-17.091,0.67,indie pop
25,2021-03-13 00:33,Lomelda,Hannah Sun,0,Lomelda - Hannah Sun,0.266,-17.091,0.67,indie rock
25,2021-03-13 00:33,Lomelda,Hannah Sun,0,Lomelda - Hannah Sun,0.266,-17.091,0.67,lo-fi indie
25,2021-03-13 00:33,Lomelda,Hannah Sun,0,Lomelda - Hannah Sun,0.266,-17.091,0.67,small room
26,2021-03-13 00:33,Jimmy Whispers,Pain in My Love,1771,Jimmy Whispers - Pain in My Love,0.8,-3.003,0.48,chicago indie
27,2021-03-13 00:33,Jerry Paper,Chameleon World,487,Jerry Paper - Chameleon World,0.456,-12.52,0.851,experimental pop
27,2021-03-13 00:33,Jerry Paper,Chameleon World,487,Jerry Paper - Chameleon World,0.456,-12.52,0.851,indie garage rock
28,2021-03-13 00:33,Space Mountain,Anecdote of a Star,0,Space Mountain - Anecdote of a Star,0.552,-7.594,0.521,small room
29,2021-03-13 00:33,RIZ LA VIE,Napkins,2020,RIZ LA VIE - Napkins,0.444,-8.976,0.76,alternative r&b
29,2021-03-13 00:33,RIZ LA VIE,Napkins,2020,RIZ LA VIE - Napkins,0.444,-8.976,0.76,bedroom soul
29,2021-03-13 00:33,RIZ LA VIE,Napkins,2020,RIZ LA VIE - Napkins,0.444,-8.976,0.76,pop rap
30,2021-03-13 00:34,Dr. Dog,My Friend,1323,Dr. Dog - My Friend,0.775,-5.462,0.295,indie folk
30,2021-03-13 00:34,Dr. Dog,My Friend,1323,Dr. Dog - My Friend,0.775,-5.462,0.295,indie rock
30,2021-03-13 00:34,Dr. Dog,My Friend,1323,Dr. Dog - My Friend,0.775,-5.462,0.295,modern folk rock
30,2021-03-13 00:34,Dr. Dog,My Friend,1323,Dr. Dog - My Friend,0.775,-5.462,0.295,modern rock
30,2021-03-13 00:34,Dr. Dog,My Friend,1323,Dr. Dog - My Friend,0.775,-5.462,0.295,philly indie
30,2021-03-13 00:34,Dr. Dog,My Friend,1323,Dr. Dog - My Friend,0.775,-5.462,0.295,stomp and holler
31,2021-03-13 00:34,Patrick Sweany,After Awhile,46,Patrick Sweany - After Awhile,0.557,-8.07,0.41,deep new americana
31,2021-03-13 00:34,Patrick Sweany,After Awhile,46,Patrick Sweany - After Awhile,0.557,-8.07,0.41,modern blues rock
32,2021-03-13 00:34,Jeff Rosenstock,Pash Rash,0,Jeff Rosenstock - Pash Rash,0.84,-6.193,0.325,alternative emo
32,2021-03-13 00:34,Jeff Rosenstock,Pash Rash,0,Jeff Rosenstock - Pash Rash,0.84,-6.193,0.325,bubblegrunge
32,2021-03-13 00:34,Jeff Rosenstock,Pash Rash,0,Jeff Rosenstock - Pash Rash,0.84,-6.193,0.325,emo
32,2021-03-13 00:34,Jeff Rosenstock,Pash Rash,0,Jeff Rosenstock - Pash Rash,0.84,-6.193,0.325,folk punk
32,2021-03-13 00:34,Jeff Rosenstock,Pash Rash,0,Jeff Rosenstock - Pash Rash,0.84,-6.193,0.325,indie punk
32,2021-03-13 00:34,Jeff Rosenstock,Pash Rash,0,Jeff Rosenstock - Pash Rash,0.84,-6.193,0.325,indie rock
32,2021-03-13 00:34,Jeff Rosenstock,Pash Rash,0,Jeff Rosenstock - Pash Rash,0.84,-6.193,0.325,modern power pop
33,2021-03-13 00:34,Mild High Club,Homage,1718,Mild High Club - Homage,0.465,-8.167,0.546,indie garage rock
33,2021-03-13 00:34,Mild High Club,Homage,1718,Mild High Club - Homage,0.465,-8.167,0.546,neo-psychedelic
34,2021-03-13 00:34,Anderson .Paak,Water Fall (Interluuube),812,Anderson .Paak - Water Fall (Interluuube),0.494,-9.585,0.491,escape room
36,2021-03-13 00:34,SALES,Ivy,5433,SALES - Ivy,0.538,-9.025,0.746,orlando indie
37,2021-03-13 00:34,Shovels & Rope,Unknown Legend,975,Shovels & Rope - Unknown Legend,0.731,-5.632,0.587,alternative country
